checkpoint_num,checkpoint_path,avg_reward,avg_steps,survived_episodes,total_episodes,log_file,success,survival_rate
0,/workspace/checkpoints_heuristic/alphazero_v2_train0.pt,1350.64,1852.5,3.0,101.0,/workspace/logs/eval_checkpoint_0.log,True,2.9702970297029703
1,/workspace/checkpoints_heuristic/alphazero_v2_train1.pt,1788.17,2442.3,5.0,101.0,/workspace/logs/eval_checkpoint_1.log,True,4.9504950495049505
2,/workspace/checkpoints_heuristic/alphazero_v2_train2.pt,3177.97,4386.3,17.0,101.0,/workspace/logs/eval_checkpoint_2.log,True,16.831683168316832
3,/workspace/checkpoints_heuristic/alphazero_v2_train3.pt,3541.66,4901.1,18.0,101.0,/workspace/logs/eval_checkpoint_3.log,True,17.821782178217823
4,/workspace/checkpoints_heuristic/alphazero_v2_train4.pt,4270.46,5872.2,43.0,101.0,/workspace/logs/eval_checkpoint_4.log,True,42.57425742574257
5,/workspace/checkpoints_heuristic/alphazero_v2_train5.pt,4035.47,5551.9,37.0,101.0,/workspace/logs/eval_checkpoint_5.log,True,36.633663366336634
6,/workspace/checkpoints_heuristic/alphazero_v2_train6.pt,4199.49,5781.0,38.0,101.0,/workspace/logs/eval_checkpoint_6.log,True,37.62376237623762
7,/workspace/checkpoints_heuristic/alphazero_v2_train7.pt,2785.7,3829.8,22.0,101.0,/workspace/logs/eval_checkpoint_7.log,True,21.782178217821784
8,/workspace/checkpoints_heuristic/alphazero_v2_train8.pt,4098.97,5646.9,38.0,101.0,/workspace/logs/eval_checkpoint_8.log,True,37.62376237623762
9,/workspace/checkpoints_heuristic/alphazero_v2_train9.pt,3989.79,5475.1,33.0,101.0,/workspace/logs/eval_checkpoint_9.log,True,32.67326732673267
10,/workspace/checkpoints_heuristic/alphazero_v2_train10.pt,3439.69,4729.7,30.0,101.0,/workspace/logs/eval_checkpoint_10.log,True,29.702970297029704
11,/workspace/checkpoints_heuristic/alphazero_v2_train11.pt,3722.69,5112.1,36.0,101.0,/workspace/logs/eval_checkpoint_11.log,True,35.64356435643565
12,/workspace/checkpoints_heuristic/alphazero_v2_train12.pt,3581.59,4945.0,34.0,101.0,/workspace/logs/eval_checkpoint_12.log,True,33.663366336633665
13,/workspace/checkpoints_heuristic/alphazero_v2_train13.pt,3688.76,5089.8,39.0,101.0,/workspace/logs/eval_checkpoint_13.log,True,38.613861386138616
14,/workspace/checkpoints_heuristic/alphazero_v2_train14.pt,4058.6,5602.9,49.0,101.0,/workspace/logs/eval_checkpoint_14.log,True,48.51485148514851
15,/workspace/checkpoints_heuristic/alphazero_v2_train15.pt,4010.5,5523.9,41.0,101.0,/workspace/logs/eval_checkpoint_15.log,True,40.59405940594059
16,/workspace/checkpoints_heuristic/alphazero_v2_train16.pt,3933.86,5433.1,42.0,101.0,/workspace/logs/eval_checkpoint_16.log,True,41.584158415841586
17,/workspace/checkpoints_heuristic/alphazero_v2_train17.pt,3819.98,5276.3,44.0,101.0,/workspace/logs/eval_checkpoint_17.log,True,43.56435643564357
18,/workspace/checkpoints_heuristic/alphazero_v2_train18.pt,4034.49,5558.2,43.0,101.0,/workspace/logs/eval_checkpoint_18.log,True,42.57425742574257
19,/workspace/checkpoints_heuristic/alphazero_v2_train19.pt,4025.03,5547.3,50.0,101.0,/workspace/logs/eval_checkpoint_19.log,True,49.504950495049506
20,/workspace/checkpoints_heuristic/alphazero_v2_train20.pt,3219.87,4413.4,27.0,101.0,/workspace/logs/eval_checkpoint_20.log,True,26.73267326732673
21,/workspace/checkpoints_heuristic/alphazero_v2_train21.pt,4500.55,6184.1,48.0,101.0,/workspace/logs/eval_checkpoint_21.log,True,47.524752475247524
22,/workspace/checkpoints_heuristic/alphazero_v2_train22.pt,3657.64,5051.6,32.0,101.0,/workspace/logs/eval_checkpoint_22.log,True,31.683168316831683
