checkpoint_num,checkpoint_path,avg_reward,avg_steps,survived_episodes,total_episodes,log_file,success
0,/workspace/checkpoints_mcts_root/alphazero_v2_train0.pt,747.2,1003.1,0,101,/workspace/logs/eval_checkpoint_0.log,True
1,/workspace/checkpoints_mcts_root/alphazero_v2_train1.pt,2805.02,3739.0,16,101,/workspace/logs/eval_checkpoint_1.log,True
2,/workspace/checkpoints_mcts_root/alphazero_v2_train2.pt,2574.34,3506.3,20,101,/workspace/logs/eval_checkpoint_2.log,True
3,/workspace/checkpoints_mcts_root/alphazero_v2_train3.pt,5033.74,6789.3,64,101,/workspace/logs/eval_checkpoint_3.log,True
4,/workspace/checkpoints_mcts_root/alphazero_v2_train4.pt,5200.82,7043.9,74,101,/workspace/logs/eval_checkpoint_4.log,True
5,/workspace/checkpoints_mcts_root/alphazero_v2_train5.pt,5358.58,7357.2,80,101,/workspace/logs/eval_checkpoint_5.log,True
6,/workspace/checkpoints_mcts_root/alphazero_v2_train6.pt,5277.85,7322.4,79,101,/workspace/logs/eval_checkpoint_6.log,True
7,/workspace/checkpoints_mcts_root/alphazero_v2_train7.pt,5033.41,6978.4,73,101,/workspace/logs/eval_checkpoint_7.log,True
8,/workspace/checkpoints_mcts_root/alphazero_v2_train8.pt,5083.08,7045.7,76,101,/workspace/logs/eval_checkpoint_8.log,True
9,/workspace/checkpoints_mcts_root/alphazero_v2_train9.pt,5262.22,7278.6,82,101,/workspace/logs/eval_checkpoint_9.log,True
10,/workspace/checkpoints_mcts_root/alphazero_v2_train10.pt,4360.59,6059.0,57,101,/workspace/logs/eval_checkpoint_10.log,True
11,/workspace/checkpoints_mcts_root/alphazero_v2_train11.pt,4730.66,6485.7,61,101,/workspace/logs/eval_checkpoint_11.log,True
12,/workspace/checkpoints_mcts_root/alphazero_v2_train12.pt,5070.96,6987.1,77,101,/workspace/logs/eval_checkpoint_12.log,True
13,/workspace/checkpoints_mcts_root/alphazero_v2_train13.pt,4653.61,6419.0,62,101,/workspace/logs/eval_checkpoint_13.log,True
14,/workspace/checkpoints_mcts_root/alphazero_v2_train14.pt,4621.53,6356.6,62,101,/workspace/logs/eval_checkpoint_14.log,True
15,/workspace/checkpoints_mcts_root/alphazero_v2_train15.pt,5224.43,7154.3,73,101,/workspace/logs/eval_checkpoint_15.log,True
16,/workspace/checkpoints_mcts_root/alphazero_v2_train16.pt,4851.19,6687.3,67,101,/workspace/logs/eval_checkpoint_16.log,True
17,/workspace/checkpoints_mcts_root/alphazero_v2_train17.pt,4882.72,6700.2,63,101,/workspace/logs/eval_checkpoint_17.log,True
18,/workspace/checkpoints_mcts_root/alphazero_v2_train18.pt,4965.32,6818.6,65,101,/workspace/logs/eval_checkpoint_mcts_root_18.log,True
19,/workspace/checkpoints_mcts_root/alphazero_v2_train19.pt,5172.01,7076.5,69,101,/workspace/logs/eval_checkpoint_mcts_root_19.log,True
20,/workspace/checkpoints_mcts_root/alphazero_v2_train20.pt,4614.95,6248.5,53,101,/workspace/logs/eval_checkpoint_mcts_root_20.log,True
21,/workspace/checkpoints_mcts_root/alphazero_v2_train21.pt,5026.08,6879.9,64,101,/workspace/logs/eval_checkpoint_mcts_root_21.log,True
22,/workspace/checkpoints_mcts_root/alphazero_v2_train22.pt,4795.79,6551.4,60,101,/workspace/logs/eval_checkpoint_mcts_root_22.log,True
23,/workspace/checkpoints_mcts_root/alphazero_v2_train23.pt,4960.14,6735.2,64,101,/workspace/logs/eval_checkpoint_mcts_root_23.log,True
24,/workspace/checkpoints_mcts_root/alphazero_v2_train24.pt,4854.01,6607.9,60,101,/workspace/logs/eval_checkpoint_mcts_root_24.log,True
25,/workspace/checkpoints_mcts_root/alphazero_v2_train25.pt,5411.18,7330.2,77,101,/workspace/logs/eval_checkpoint_mcts_root_25.log,True
26,/workspace/checkpoints_mcts_root/alphazero_v2_train26.pt,4926.6,6707.5,67,101,/workspace/logs/eval_checkpoint_mcts_root_26.log,True
27,/workspace/checkpoints_mcts_root/alphazero_v2_train27.pt,5028.15,6821.0,65,101,/workspace/logs/eval_checkpoint_mcts_root_27.log,True
28,/workspace/checkpoints_mcts_root/alphazero_v2_train28.pt,5309.16,7166.0,78,101,/workspace/logs/eval_checkpoint_mcts_root_28.log,True
29,/workspace/checkpoints_mcts_root/alphazero_v2_train29.pt,5107.68,6911.8,68,101,/workspace/logs/eval_checkpoint_mcts_root_29.log,True
30,/workspace/checkpoints_mcts_root/alphazero_v2_train30.pt,5009.8,6766.3,64,101,/workspace/logs/eval_checkpoint_mcts_root_30.log,True
31,/workspace/checkpoints_mcts_root/alphazero_v2_train31.pt,4934.91,6716.1,69,101,/workspace/logs/eval_checkpoint_mcts_root_31.log,True
32,/workspace/checkpoints_mcts_root/alphazero_v2_train32.pt,5027.9,6813.8,73,101,/workspace/logs/eval_checkpoint_mcts_root_32.log,True
33,/workspace/checkpoints_mcts_root/alphazero_v2_train33.pt,5194.75,7023.3,74,101,/workspace/logs/eval_checkpoint_mcts_root_33.log,True
34,/workspace/checkpoints_mcts_root/alphazero_v2_train34.pt,4946.9,6665.2,68,101,/workspace/logs/eval_checkpoint_mcts_root_34.log,True
35,/workspace/checkpoints_mcts_root/alphazero_v2_train35.pt,4957.43,6729.6,65,101,/workspace/logs/eval_checkpoint_mcts_root_35.log,True
36,/workspace/checkpoints_mcts_root/alphazero_v2_train36.pt,5203.65,7005.9,71,101,/workspace/logs/eval_checkpoint_mcts_root_36.log,True
37,/workspace/checkpoints_mcts_root/alphazero_v2_train37.pt,5388.84,7264.4,81,101,/workspace/logs/eval_checkpoint_mcts_root_37.log,True
38,/workspace/checkpoints_mcts_root/alphazero_v2_train38.pt,5389.34,7303.6,79,101,/workspace/logs/eval_checkpoint_mcts_root_38.log,True
39,/workspace/checkpoints_mcts_root/alphazero_v2_train39.pt,5234.14,7073.5,74,101,/workspace/logs/eval_checkpoint_mcts_root_39.log,True
40,/workspace/checkpoints_mcts_root/alphazero_v2_train40.pt,5276.92,7136.2,74,101,/workspace/logs/eval_checkpoint_mcts_root_40.log,True
41,/workspace/checkpoints_mcts_root/alphazero_v2_train41.pt,5419.14,7306.2,75,101,/workspace/logs/eval_checkpoint_mcts_root_41.log,True
42,/workspace/checkpoints_mcts_root/alphazero_v2_train42.pt,5298.07,7208.5,80,101,/workspace/logs/eval_checkpoint_mcts_root_42.log,True
43,/workspace/checkpoints_mcts_root/alphazero_v2_train43.pt,5320.32,7246.7,77,101,/workspace/logs/eval_checkpoint_mcts_root_43.log,True
44,/workspace/checkpoints_mcts_root/alphazero_v2_train44.pt,5391.01,7308.9,79,101,/workspace/logs/eval_checkpoint_mcts_root_44.log,True
45,/workspace/checkpoints_mcts_root/alphazero_v2_train45.pt,5602.44,7598.7,82,101,/workspace/logs/eval_checkpoint_mcts_root_45.log,True
46,/workspace/checkpoints_mcts_root/alphazero_v2_train46.pt,5450.07,7404.6,83,101,/workspace/logs/eval_checkpoint_mcts_root_46.log,True
47,/workspace/checkpoints_mcts_root/alphazero_v2_train47.pt,5472.52,7428.5,83,101,/workspace/logs/eval_checkpoint_mcts_root_47.log,True
48,/workspace/checkpoints_mcts_root/alphazero_v2_train48.pt,5336.65,7253.1,77,101,/workspace/logs/eval_checkpoint_mcts_root_48.log,True
49,/workspace/checkpoints_mcts_root/alphazero_v2_train49.pt,5085.54,6898.1,74,101,/workspace/logs/eval_checkpoint_mcts_root_49.log,True
